method_name,build_id,test_scenario,count_tc,count_commits,apfd,time
experiment_phylogenetic_v9,QCO30.95-Q3-10-14,v8_full_test,3,27,0.8125,0.0
experiment_phylogenetic_v9,QMD30.27,v8_full_test,56,71,0.5669642857142857,0.0
experiment_phylogenetic_v9,QPG30.82-37,v8_full_test,12,12,0.31249999999999994,0.0
experiment_phylogenetic_v9,QPG30.82-57,v8_full_test,20,2,0.44375000000000003,0.0
experiment_phylogenetic_v9,QPI30.34,v8_full_test,25,106,0.75,0.0
experiment_phylogenetic_v9,QPI30.73-3,v8_full_test,55,61,0.6136363636363636,0.0
experiment_phylogenetic_v9,QPI30.73-8,v8_full_test,7,15,0.875,0.0
experiment_phylogenetic_v9,QPJ30.131-15,v8_full_test,8,4,0.46875,0.0
experiment_phylogenetic_v9,QPJ30.14,v8_full_test,3,5,0.3333333333333333,0.0
experiment_phylogenetic_v9,QPJ30.32,v8_full_test,62,2,0.5129032258064515,0.0
experiment_phylogenetic_v9,QPO30.15,v8_full_test,24,196,0.5104166666666666,0.0
experiment_phylogenetic_v9,QPR30.80-129,v8_full_test,10,2,0.09999999999999995,0.0
experiment_phylogenetic_v9,QPS30.205-Q3-43-3,v8_full_test,14,67,0.5833333333333334,0.0
experiment_phylogenetic_v9,QPZ30.15,v8_full_test,29,48,0.5344827586206896,0.0
experiment_phylogenetic_v9,QPZ30.30-Q3-1,v8_full_test,10,664,0.475,0.0
experiment_phylogenetic_v9,QZA30.Q4-19,v8_full_test,4,136,0.5,0.0
experiment_phylogenetic_v9,QZK30.Q4-25,v8_full_test,1,73,1.0,0.0
experiment_phylogenetic_v9,QZK30.Q4-38,v8_full_test,58,99,0.7916666666666666,0.0
experiment_phylogenetic_v9,QZK30.Q4-40-21,v8_full_test,15,58,0.5333333333333333,0.0
experiment_phylogenetic_v9,RPE31.Q4U-47-10,v8_full_test,3,79,0.16666666666666666,0.0
experiment_phylogenetic_v9,RPE31.Q4U-47-8,v8_full_test,35,49,0.5857142857142856,0.0
